ID,TITLE,CATEGORY
226435,Google+ rolls out 'Stories' for tricked out photo playback,t
356684,Dov Charney's Redeeming Quality,b
246926,White God adds Un Certain Regard to the Palm Dog,e
318360,"Google shows off Androids for wearables, cars, TVs",t
277235,China May new bank loans at 870.8 bln yuan,b
13410,Firefox Windows 8 Metro Browser Development Cancelled By Mozilla,t
186031,Destiny Beta Kicks Off In July,t
213743,Apple & Google's Motorola end legal battle,t
155736,UPDATE 2-Facebook Q1 revenue grows 72 percent on rising mobile ads,b
98934,"Selena Gomez, Justin Bieber Spotted at the Same Recording Studio in Miami",e
1011,"Titanfall: Gameplay basics, release date, DLC and everything else you need to  ...",t
242833,Angela Bassett to direct Whitney Houston biopic for Lifetime,e
275148,German Museum Lets You Talk to van Gogh's Regrown Ear,e
298735,Iraq crisis fuels concern for oil prices,t
400203,"BC doctor OK, not in quarantine after Ebola aid trip to Liberia",m
323513,GM recalling nearly 29000 Chevrolet Cruzes to fix air bags,t
189580,Local Experts Weigh in on Climate Change,t
295221,Samsung Reportedly Explored Acquiring Company That Powers Siri,t
265955,'Ghost Stories' by Coldplay Hits No. 1 on Billboard 200,e
239543,"Hackers raid eBay, access 145 million records",t
101768,Most people ready to just assume Colin Kaepernick did something terrible now  ...,b
301818,Sound off: US Patent Office cancels Redskins trademark registrations,b
110745,Beyonce - Beyonce Makes Surprise Appearance At Coachella,e
81068,Mark Cuban: Potential flash crash bigger issue than market rigged scalping,b
17700,Apple to launch 8GB iPhone 5c tomorrow,t
5070,Westhus Reaping Fannie Windfall to Rival Big Short: Mortgages,b
120677,"US stocks open higher, extending modest rally; Johnson & Johnson reports  ...",b
107086,Why KISS won't make up,e
248986,Report: Edgar Wright Walked Off Ant-Man After Major Script Changes By the Studio,e
218526,As I Lay Dying Singer Sentenced To Six Years In Prison,e
123581,"Khloe Kardashian, French Montana Continue Romance Despite Warning From  ...",e
291285,Struggling climate talks look to UN summit,t
121815,Twitter Gets Its Grip on Gnip,t
330495,Arts and crafts chain Michaels raises $472M in IPO,b
321659,Bloomberg Soda Ban Really Dead This Time,m
244768,Boil Water Notice issued for entire city of Portland,m
283921,Ford cuts fuel economy on 6 cars after new tests,t
49006,Connelly finds 'Noah' close to the tale,e
304071,Jay Leno to Receive Comedy's Highest Honor,e
163175,Former Islanders owner admits to role in $554 million cheat,b
125086,Dovish Sign? Janet Yellen Says Nothing About Asset Bubbles,b
340377,Experts call secret Facebook experiment unethical,t
315317,Malaysia Airlines Flight 370: New Search Zone to Be Unveiled Thursday,b
350999,Cable Channel Yanks Show After Host's Social Media Rant,e
267634,Eurozone down as China growth accelerates,b
75704,Memorable week 3 in the ballroom on Dancing With The Stars,e
268184,Movie companies ask FAA to allow drones,b
165910,"Pfizer confirms AstraZeneca bid, still chasing $100 billion deal (Video)",b
254174,Rob Kardashian skipped Kimye wedding over taking photos: report,e
320886,Transformers: Age of Extinction is more like Age of Explosions,e
211878,Consumer Sentiment Slips in May on Concern Over Wages,b
86451,'Game of Thrones' Mon-Sat: How to Survive the Gap,e
223268,Teen Fined $200 For Swearing Near Playground,m
294145,"4 states, District of Columbia reach Chesapeake Bay pollution agreement",b
223696,US government accuses China of cyberespionage against companies,b
302807,Gov't Opens 2 New Chrysler Investigations,t
157056,"'Jurassic Park 4' First Look: The Cast, the Cars and the Construction!",e
4324,"Investor's Alert - J.C. Penney Company, Inc. (NYSE:JCP), Sprint Corporation  ...",b
307747,SNC-Lavalin Buys Kentz In $2.1-Billion Deal,b
129959,"Is Easter about Jesus or bunnies? Both, actually",e
221873,Game of Thrones season 5 casting: Mace Tyrell to return,e
400029,Apple gives Retina MacBook Pros a speed boost ahead of Yosemite rollout,t
351560,The Cast Of Full House Reunite For Dave Coulier's Wedding Day (PHOTOS),e
138123,"After His Death, Garcia Marquez Book Sales Soar",e
262054,Film Review: 'Maleficent',e
59690,"CDC: 1 out of 68 showing symptoms of autism, nearly 30% increase in 2 yrs",m
291466,"Samsung Galaxy S5 BroadBand LTE-A – A QHD, Snapdragon 805 Powered S5  ...",t
365891,Two Young Unknowns Cast in Star Wars Episode VII After Open Auditions,e
157841,People's Most Beautiful Person Lupita Nyong'o & Scarlett Johansson Swing  ...,e
347716,'Earth to Echo' — inspired update of 'ET' or cheap knockoff? (VIDEO),e
278970,Harrison Ford Injured On 'Star Wars: Episode VII' Set: Actor Airlifted To Hospital  ...,e
239348,"T-Mobile Launches VoLTE In Seattle; G Flex, Galaxy Light, And Note 3 Updated  ...",t
348800,Can the Fed and Janet Yellen control bubbles?,b
104828,New Report Claims That Music With Alcohol References Encourages Binge  ...,m
84232,"Holcim, Lafarge announce merger into global cement giant",b
83072,“Godfather Of House Music” Dies At 59,e
115568,Beyonce — You Should Definitely Be Kim Kardashian's Bridesmaid,e
337208,Chris Rock Was A Hilarious BET Awards Host; Should Host Everything,e
34118,Tiny quints born at Dallas hospital precious package for East Texas parents,m
43675,BRCA1 breast cancer gene linked to deadly uterine cancer,m
234227,Minnesota takes the lead in banning Triclosan,m
27090,International Day of Happiness: 10 reasons to be extra joyful today,e
398531,"Pound Euro and Pound Dollar Exchange Rate FORECAST, GBP/EUR + GBP/USD",b
209492,Red Hat announces ManageIQ community for open source cloud management,t
125933,Canadian police arrests 19 year-old over 'Heartbleed' security breach,t
169347,Sony Needs 'The Amazing Spider-Man 2' to Be a Huge Win,e
217727,"With Two New Managers, Glass is Becoming a Real Google Division",t
210323,"Bradley Cooper's Ex Jennifer Esposito: He's a 'Mean, Cold Manipulator'",e
227787,Led Zeppelin Sued Over 'Stairway To Heaven' Guitar Line,e
385308,"IBM, Apple Reach Deal to Create Apps, Sell iPhones, iPads",t
334758,WWE Money In The Bank: John Cena & Seth Rollins Take Home Top Prizes,b
401424,Samsung Electronics says its 2Q profits plunge 20 percent,b
89312,"Game of Thrones: ""Two Swords"" Review",e
343339,Rolf Harris: His costly moment in court,e
334362,Soyabeans hit two-week high,b
274906,Justin Bieber sorry for racist joke,e
98926,Selena Gomez Fires Her Parents: It's About 'Independence Not A Family Rift',e
108213,Cross runs for 100 yards in Nebraska's spring game,t
272725,Bond yields stick to low levels to the amazement of analysts,b
415855,"Ariana Grande, Jessie J & Nicki Minaj 'Bang Bang' At MTV VMAs",e
94071,"Simon Cowell: Lauren Silverman, son Eric have given life 'perspective'",e
347372,Beyoncé May Have Confirmed Jay-Z Cheating Rumors During 'On The Run  ...,e
37510,Malaysian plane search information still inconclusive,b
421072,'Sopranos' Creator Reveals Tony's Fate? [Updated],e
325709,"Eli Wallach, star of 'The Good, the Bad and the Ugly' and 'The Magnificent Seven  ...",e
268433,Apple iOS 8: Check Out The 7 Most Jaw-Dropping Features Of Messages  ...,t
122515,Average gas price in Harrisburg area is 16 cents higher than a year ago,t
273884,Was Apple's iPhone 6 no show expected?,t
218922,'Godzilla' opens with smashing $93.2 million - KTVN Channel 2 - Reno Tahoe  ...,e
93781,"Bob Geldof pays tribute to ""beautiful"" Peaches",e
339266,French bank BNP Paribas fined $8.9 billion for violating US sanctions,b
331861,"WATCH: Online video is growing up, but do you remember these classics?",t
228770,"Ciara gives birth, welcomes baby Future Zahir Wilburn, named after his dad  ...",e
200851,Oracle Gets Another Shot At Making Google Pay For Using Its Code In Android,t
192282,Alibaba's Risks: Chinese E-Commerce Giant Opens Books For Initial Public  ...,b
80433,SLR cut hinges on fiscal correction push under new govt: Reserve Bank,b
40879,Full steam ahead: The e-cigarette market is returning cigarette advertising to TV  ...,m
65154,"Virtual reality grows up, in Southland's backyard",t
388411,"New MacBook Pro, MacBook Air, iPhone 6 & iPads 2014 to benefit from Apple  ...",t
102866,US government issues major warning to banks to be on hacking alert due to  ...,t
366343,Liam Hemsworth speaks out about his relationship with Miley Cyrus,e
120289,Getting along with your spouse,m
165298,Evil computer v humans? You'll back the computer,e
382685,"New analysis says Alzheimer's preventable in a third, not half of cases",m
